RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
143,UTEP,CUSA,33,18,105.8,104.0,0.5501,49.3,52.4,16.6,22.0,25.4,32.4,37.0,40.0,47.7,54.0,34.6,33.4,36.2,41.2,68.4,-8.40,N/A
144,Virginia Tech,ACC,32,13,106.5,104.7,0.5493,51.2,52.3,20.1,16.2,31.0,29.2,30.8,31.8,50.3,54.6,35.0,32.6,40.4,41.2,65.1,-9.20,N/A
145,Wofford,SC,34,19,111.5,109.7,0.5466,53.3,51.8,16.9,14.9,35.5,26.2,31.1,36.2,54.6,51.8,34.5,34.5,47.7,45.8,63.9,-9.70,15
146,Miami OH,MAC,34,25,107.8,106.4,0.5364,55.4,51.3,17.4,19.1,27.5,29.0,28.1,33.3,53.9,51.9,38.2,33.6,44.0,39.9,68.8,-4.60,N/A
147,UC Santa Barbara,BW,34,21,108.7,107.3,0.5353,54.6,48.9,18.2,17.2,27.5,29.2,29.7,32.0,52.4,50.5,38.1,30.8,47.4,36.9,65.2,-7.90,N/A
148,Loyola Marymount,WCC,32,17,104.2,103.1,0.5300,50.2,48.5,15.2,15.7,22.8,30.9,29.0,28.9,50.6,49.0,33.1,31.8,40.4,36.6,67.0,-6.90,N/A
149,Robert Morris,Horz,34,26,105.9,105.0,0.5238,51.3,50.3,18.5,18.8,35.3,28.3,38.4,30.0,50.7,49.8,34.9,34.2,36.8,35.6,67.9,-4.30,15
150,Texas A&M Corpus Chris,Slnd,34,20,105.8,105.0,0.5237,52.8,49.9,17.8,18.3,31.9,30.7,36.7,40.4,53.0,48.4,34.7,35.0,29.2,36.7,67.4,-8.50,N/A
151,UC Riverside,BW,33,21,109.9,109.0,0.5225,49.5,51.4,15.8,15.8,32.2,28.9,28.7,33.4,49.0,51.4,33.5,34.4,42.3,38.8,67.0,-4.70,N/A
152,San Jose St.,MWC,34,15,106.9,106.1,0.5220,50.6,51.9,17.4,16.6,26.9,32.2,31.5,28.6,49.1,53.9,35.1,32.0,41.2,35.2,66.2,-10.20,N/A
153,Bryant,AE,34,23,105.8,105.3,0.5112,51.0,47.7,16.5,16.4,34.2,28.8,30.4,30.0,51.5,47.3,33.4,32.2,34.8,36.0,72.3,-7.10,15
154,Radford,BSth,33,20,109.8,109.3,0.5108,51.1,51.0,17.7,16.5,33.8,30.0,41.3,37.0,49.9,49.3,35.6,35.8,36.3,40.1,62.9,-7.30,N/A
155,Sam Houston St.,CUSA,32,13,110.3,109.9,0.5102,51.0,53.1,18.3,17.2,30.3,32.2,36.3,33.2,46.9,52.3,38.3,36.2,38.6,41.2,67.7,-11.70,N/A
156,Cal Baptist,WAC,32,17,105.0,104.6,0.5098,48.3,50.1,17.7,18.1,33.3,29.6,29.7,33.4,48.6,50.3,31.7,33.2,35.0,31.3,65.8,-9.60,N/A
157,Temple,Amer,32,17,110.5,110.4,0.5026,49.9,50.6,15.7,15.1,32.0,31.2,45.2,36.4,48.2,51.0,35.8,33.3,31.3,36.4,68.7,-9.60,N/A
158,James Madison,SB,32,20,110.0,110.0,0.5013,50.7,50.9,15.8,15.6,32.0,30.5,30.4,33.4,50.0,49.6,34.3,35.5,45.2,35.1,64.9,-7.40,N/A
159,Western Kentucky,CUSA,32,17,103.1,103.1,0.5010,47.9,47.4,15.5,17.0,23.5,28.1,32.1,40.6,48.0,48.7,31.7,30.5,39.7,44.1,71.8,-8.30,N/A
160,Rhode Island,A10,31,18,107.6,107.7,0.4973,52.8,49.3,17.9,16.0,28.3,28.6,41.1,30.8,53.3,50.6,34.6,31.5,37.7,39.7,70.4,-7.80,N/A
161,Charleston,CAA,33,24,105.2,105.3,0.4969,52.4,50.1,16.2,16.4,26.5,28.3,34.6,26.5,51.8,51.4,35.5,32.1,40.0,39.7,70.2,-4.60,N/A
162,Murray St.,MVC,33,16,104.7,104.9,0.4957,49.3,51.2,16.9,17.3,29.1,26.4,41.2,35.5,48.6,52.6,33.6,32.1,40.1,32.1,64.7,-10.70,N/A
163,Milwaukee,Horz,32,21,106.0,106.3,0.4931,51.4,51.5,19.4,18.3,39.8,26.6,38.0,32.4,53.1,52.2,31.9,33.6,31.5,38.6,68.6,-7.00,N/A
164,Appalachian St.,SB,31,17,100.5,100.9,0.4885,49.6,46.1,16.9,14.8,27.6,29.6,35.1,22.2,48.7,47.0,34.0,29.8,41.1,40.1,63.1,-9.50,N/A
165,Florida Gulf Coast,ASun,32,18,107.4,108.1,0.4831,53.9,50.5,16.2,14.3,30.0,26.5,23.1,29.5,54.1,48.9,35.7,35.1,38.4,44.0,65.2,-9.20,N/A
166,East Tennessee St.,SC,32,19,104.8,105.5,0.4824,50.3,50.3,16.1,18.9,35.7,29.8,33.2,34.3,48.9,49.5,34.7,34.2,41.7,41.1,65.0,-9.30,N/A
167,Towson,CAA,33,22,106.0,106.8,0.4801,47.9,50.8,14.5,17.3,35.3,28.0,28.4,30.7,46.7,50.7,33.4,34.1,37.2,38.8,63.5,-5.90,N/A
168,Nicholls St.,Slnd,33,20,105.5,106.2,0.4801,48.1,48.1,15.3,16.7,30.6,31.5,33.1,35.9,45.6,49.9,35.0,30.1,36.8,37.6,68.1,-7.50,N/A
169,Winthrop,BSth,34,23,107.4,108.2,0.4781,53.3,51.4,17.7,18.7,31.2,31.5,47.7,37.1,55.0,50.6,33.8,35.2,38.3,37.9,72.6,-6.20,N/A
170,UNC Greensboro,SC,32,20,105.4,106.2,0.4780,50.7,47.8,15.3,16.4,31.1,30.1,29.8,34.0,48.0,48.7,36.2,31.0,42.4,43.1,63.7,-7.70,N/A
171,Marshall,SB,33,20,105.6,106.6,0.4739,49.9,49.3,16.5,16.8,33.0,29.6,34.8,40.9,51.0,49.7,32.3,32.2,39.6,32.8,68.6,-8.80,N/A
172,Boston College,ACC,31,12,105.2,106.2,0.4713,48.9,51.9,17.3,15.5,28.8,30.0,31.5,37.1,47.5,51.3,34.5,35.2,33.0,35.9,66.7,-9.80,N/A
173,Cleveland St.,Horz,33,21,102.6,103.6,0.4700,49.3,50.6,18.3,22.3,34.5,34.1,31.0,38.1,49.6,49.8,32.5,34.5,32.7,40.4,65.5,-7.80,N/A
174,Lamar,Slnd,33,20,101.2,102.3,0.4695,47.2,47.6,19.0,17.7,35.5,31.8,29.0,34.8,44.3,47.9,35.6,31.4,32.8,39.1,65.3,-7.40,N/A
175,Purdue Fort Wayne,Horz,32,19,107.5,108.8,0.4643,54.7,53.3,13.8,20.1,22.0,32.8,29.1,30.0,54.0,56.2,37.1,32.6,45.6,40.0,69.6,-8.60,N/A
176,Dartmouth,Ivy,28,14,100.5,101.8,0.4627,50.3,49.1,16.2,13.8,22.8,24.9,30.3,23.2,49.8,52.1,33.9,29.6,46.5,38.5,70.7,-10.60,N/A
177,Eastern Kentucky,ASun,32,18,109.4,110.8,0.4619,49.7,52.6,13.8,17.8,32.4,33.2,26.0,31.8,47.7,52.1,34.9,35.5,42.2,37.3,67.6,-8.70,N/A
178,Cal Poly,BW,35,16,108.9,110.5,0.4585,55.2,53.2,20.7,19.1,27.6,33.2,26.8,32.4,56.0,54.3,36.3,34.4,51.1,39.9,74.4,-11.50,N/A
179,Rice,Amer,32,13,106.3,107.9,0.4579,48.6,47.8,17.8,14.0,33.7,29.6,43.3,35.9,47.8,47.5,33.2,32.1,38.8,36.9,65.4,-14.20,N/A
180,Southern Illinois,MVC,33,14,106.1,107.7,0.4572,51.6,52.6,18.3,15.2,30.3,28.0,34.2,33.7,51.0,51.5,35.1,36.1,33.6,39.8,67.8,-12.90,N/A
181,UTSA,Amer,31,12,107.0,108.8,0.4507,49.7,53.3,15.7,20.6,27.0,35.5,29.0,43.9,46.1,53.2,36.1,35.7,44.1,37.9,69.7,-12.80,N/A
182,East Carolina,Amer,33,19,106.3,108.2,0.4490,48.4,51.7,15.6,17.4,33.8,31.2,35.2,31.6,49.3,48.5,31.2,38.4,35.2,35.3,66.5,-8.90,N/A
183,Portland St.,BSky,32,19,100.8,102.7,0.4483,50.5,50.0,18.4,19.6,33.4,30.4,34.3,34.9,51.7,51.6,32.0,31.7,31.7,39.1,68.2,-9.30,N/A
184,Miami FL,ACC,31,7,112.5,114.6,0.4479,51.9,57.4,16.0,15.0,28.2,30.8,26.4,28.8,55.1,55.9,31.3,39.7,38.5,39.9,67.4,-13.50,N/A
185,Drexel,CAA,33,18,103.6,105.6,0.4473,52.2,47.8,18.6,14.4,33.0,30.1,24.2,28.2,51.9,48.1,35.0,31.6,37.1,35.4,62.9,-11.70,N/A
186,Ohio,MAC,32,16,106.4,108.4,0.4473,53.4,52.3,14.9,17.8,23.9,29.0,33.5,36.4,53.9,50.4,35.0,37.6,40.1,32.6,70.3,-11.80,N/A
187,Montana St.,BSky,33,15,104.7,106.7,0.4462,52.8,48.8,15.1,15.3,20.7,29.4,31.9,31.9,53.8,50.6,34.3,29.8,43.0,32.0,65.9,-12.00,N/A
188,South Carolina St.,MEAC,33,20,102.4,104.4,0.4449,50.8,50.1,19.9,22.8,35.7,32.7,42.9,47.0,50.2,51.8,34.7,31.1,33.0,34.1,69.1,-9.20,N/A
189,Wyoming,MWC,32,12,103.1,105.2,0.4430,50.3,51.0,19.9,15.8,30.0,27.2,30.4,41.1,49.5,51.7,34.4,33.3,40.7,37.3,64.5,-10.80,N/A
190,Jacksonville,ASun,32,19,101.2,103.6,0.4346,50.1,50.7,19.3,18.7,35.3,30.5,28.2,34.5,47.3,50.0,37.0,34.6,33.9,38.2,67.3,-7.50,N/A
191,Illinois Chicago,MVC,32,18,105.4,107.9,0.4336,51.1,51.6,17.5,15.8,30.0,27.9,35.1,31.6,51.1,51.6,34.0,34.4,39.4,35.3,69.0,-8.40,N/A
192,Queens,ASun,33,19,105.9,108.5,0.4320,52.3,51.7,18.0,16.0,31.1,28.7,33.7,32.1,52.6,51.4,34.6,34.8,44.2,37.8,68.4,-8.60,N/A
193,Oakland,Horz,34,16,106.3,108.9,0.4310,50.1,51.4,18.0,16.2,34.1,32.6,31.7,27.8,53.2,49.7,30.6,35.9,42.3,41.0,63.6,-11.20,N/A
194,Central Connecticut,NEC,32,25,99.0,101.5,0.4277,52.2,47.7,17.2,18.1,26.5,25.3,25.9,18.9,53.7,49.0,32.9,30.6,34.8,42.0,65.5,-4.70,N/A
195,Norfolk St.,MEAC,34,24,106.2,109.0,0.4254,52.4,49.7,18.3,18.6,32.8,33.8,39.0,34.9,54.5,48.9,31.3,33.9,27.7,42.7,66.3,-5.30,16
196,Northeastern,CAA,32,17,103.9,106.9,0.4180,51.1,50.3,18.6,18.2,31.4,31.4,28.0,30.3,51.3,49.2,33.7,34.9,34.8,34.7,67.4,-11.00,N/A
197,Southeast Missouri St.,OVC,33,21,101.5,104.5,0.4175,51.3,47.6,15.4,19.0,24.0,28.7,28.9,42.8,51.1,48.8,34.5,30.0,36.0,31.6,68.8,-8.70,N/A
198,Pepperdine,WCC,35,13,106.3,109.5,0.4163,49.6,52.5,16.1,15.3,27.7,30.0,31.6,27.2,48.9,53.3,34.0,34.2,34.7,38.9,69.0,-12.40,N/A
199,Merrimack,MAAC,33,18,98.3,101.3,0.4163,49.4,46.9,13.8,23.2,20.8,38.6,24.4,29.9,49.3,47.2,33.0,31.0,42.9,36.3,64.4,-9.90,N/A
200,Abilene Christian,WAC,32,16,98.0,101.0,0.4146,46.7,51.4,20.7,24.0,30.0,31.5,37.2,51.3,47.8,52.6,28.9,32.6,25.3,32.5,69.1,-10.50,N/A
201,Brown,Ivy,27,14,102.4,105.6,0.4117,51.1,49.3,17.1,15.7,30.1,30.7,28.0,29.1,52.1,49.2,33.1,32.9,40.5,37.4,65.7,-8.70,N/A
202,South Florida,Amer,32,13,102.3,105.5,0.4110,49.7,49.7,16.2,18.3,27.7,33.2,34.9,36.7,51.1,49.6,31.6,33.3,37.6,37.5,68.2,-12.50,N/A
203,Indiana St.,MVC,32,14,108.3,112.1,0.4017,54.6,54.3,19.5,15.8,26.2,27.0,35.9,38.8,56.6,54.5,35.0,35.9,50.1,38.0,72.3,-12.50,N/A
204,Hampton,CAA,33,17,103.3,107.0,0.3979,47.5,52.6,16.0,18.8,34.0,28.7,30.3,43.6,46.9,53.3,32.4,34.2,36.7,35.7,65.5,-11.60,N/A
205,Idaho St.,BSky,30,15,105.8,109.8,0.3965,47.8,54.1,16.3,17.9,38.3,25.9,34.4,32.7,48.3,53.0,31.2,37.3,36.6,37.7,65.8,-10.50,N/A
206,Princeton,Ivy,30,19,103.2,107.1,0.3955,51.5,53.4,15.2,17.3,26.2,24.2,24.6,31.7,50.1,53.5,35.3,35.5,48.7,40.8,66.6,-6.30,N/A
207,Missouri St.,MVC,32,9,101.7,105.6,0.3947,50.9,54.7,20.7,19.1,32.0,28.4,34.3,38.5,49.1,55.0,36.0,36.1,37.0,39.4,63.8,-17.30,N/A
208,Southeastern Louisiana,Slnd,32,18,104.1,108.1,0.3932,49.2,51.4,17.4,18.8,30.9,29.4,34.7,36.5,49.5,51.9,32.4,33.7,31.6,42.2,66.9,-9.60,N/A
209,La Salle,A10,33,14,103.3,107.3,0.3921,46.1,52.6,15.5,16.7,30.5,29.5,31.4,30.0,44.5,54.5,32.8,33.2,33.2,41.5,68.6,-11.60,N/A
210,Texas St.,SB,32,16,108.1,112.4,0.3899,50.7,49.9,18.1,16.1,35.2,31.5,36.0,41.6,49.3,47.4,36.4,36.1,27.8,36.4,65.9,-11.70,N/A
211,Quinnipiac,MAAC,33,20,101.8,105.9,0.3899,48.4,49.5,17.9,17.1,33.5,26.0,31.1,28.3,50.7,46.7,29.8,36.1,38.0,37.1,71.5,-9.30,N/A
212,Massachusetts,A10,32,12,101.6,105.7,0.3891,45.1,49.8,16.1,17.5,34.3,31.0,34.0,36.6,46.6,49.7,28.0,33.2,32.2,39.9,70.4,-13.40,N/A
213,Youngstown St.,Horz,34,21,102.3,106.4,0.3879,49.8,48.8,17.6,18.0,29.3,31.2,36.4,35.8,52.1,48.1,31.3,33.5,46.2,32.8,69.2,-9.20,N/A
214,Bucknell,Pat,33,18,103.4,107.7,0.3856,53.8,50.3,18.6,17.0,26.0,28.0,36.7,35.4,54.4,49.0,35.3,34.7,41.0,40.6,67.4,-10.30,N/A
215,Southern,SWAC,32,20,98.5,102.7,0.3836,47.2,49.2,18.5,21.1,34.4,28.5,38.1,42.3,47.4,48.2,31.2,33.8,33.3,39.4,68.3,-7.30,N/A
216,Fordham,A10,33,12,106.3,110.9,0.3810,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32.0,35.5,41.5,31.8,69.5,-14.00,N/A
217,Seton Hall,BE,32,7,97.5,101.7,0.3809,44.7,54.6,19.1,22.2,31.2,31.8,32.9,39.6,43.9,54.5,31.2,36.6,30.5,44.4,64.4,-13.20,N/A
218,SIU Edwardsville,OVC,33,22,101.3,105.7,0.3796,48.9,47.5,17.1,17.3,31.8,29.1,33.1,33.2,47.8,46.3,34.0,33.0,36.3,38.6,65.8,-7.80,16
219,Valparaiso,MVC,34,15,105.1,109.8,0.3789,47.7,53.7,14.0,17.1,26.5,28.5,33.6,35.4,47.3,54.2,32.3,35.2,38.4,36.0,67.9,-13.00,N/A
220,Wright St.,Horz,33,15,108.5,113.3,0.3785,56.3,53.2,17.8,14.2,28.0,27.9,27.0,34.5,55.3,52.2,38.6,36.7,37.8,36.0,67.3,-13.80,N/A
221,William & Mary,CAA,32,17,106.4,111.2,0.3761,53.7,53.5,18.1,17.6,26.2,30.2,35.6,35.5,55.8,54.4,34.5,34.8,51.5,41.6,71.4,-10.70,N/A
222,Central Michigan,MAC,31,14,104.7,109.4,0.3754,49.8,53.1,17.6,18.2,32.1,29.1,35.8,31.3,51.2,52.5,31.3,35.9,33.3,43.9,67.2,-11.50,N/A
223,Campbell,CAA,32,15,101.2,105.9,0.3724,50.0,52.4,15.8,18.8,24.6,27.7,29.7,29.9,51.5,55.8,31.9,31.1,41.8,36.8,65.8,-12.70,N/A
224,Richmond,A10,32,10,103.5,108.4,0.3720,48.4,52.7,15.4,15.8,19.3,27.7,29.7,37.1,49.7,52.4,31.2,35.4,45.6,48.6,63.8,-15.00,N/A
225,Northwestern St.,Slnd,32,16,102.0,107.0,0.3667,48.7,49.8,20.2,17.4,33.1,32.6,32.2,33.1,46.5,46.8,35.2,36.2,35.7,39.7,63.8,-9.70,N/A
226,UNC Asheville,BSth,32,21,107.1,112.3,0.3666,52.0,53.4,14.8,18.0,29.7,34.1,34.4,40.1,52.4,53.8,34.2,35.2,35.0,38.9,67.8,-6.50,N/A
227,Hofstra,CAA,33,15,97.8,102.5,0.3662,48.9,45.9,17.6,16.4,25.8,28.6,25.3,38.0,48.1,42.6,33.2,33.9,42.3,40.4,63.6,-13.50,N/A
228,Elon,CAA,32,17,106.0,111.3,0.3627,50.2,48.1,19.0,13.3,36.3,31.4,38.8,24.7,50.8,47.1,32.8,32.9,41.7,43.5,64.9,-11.00,N/A
229,UMKC,Sum,33,13,100.5,105.5,0.3624,48.4,51.2,18.6,17.1,32.8,29.7,30.9,35.2,47.5,53.6,33.1,31.8,44.0,40.8,64.3,-14.80,N/A
230,Longwood,BSth,32,18,105.0,110.3,0.3608,51.3,55.9,18.0,20.7,32.1,29.6,45.4,38.3,52.3,59.8,32.9,33.7,33.9,41.6,68.9,-9.80,N/A
231,Hawaii,BW,31,15,102.1,107.4,0.3606,50.6,49.5,20.7,13.1,31.0,24.9,39.9,33.7,53.1,48.0,31.0,35.0,37.4,32.4,65.8,-11.00,N/A
232,Tennessee St.,OVC,33,17,102.9,108.2,0.3602,51.3,48.8,21.1,17.4,33.8,30.3,41.4,39.3,52.5,48.1,32.6,33.4,33.6,35.9,70.5,-13.00,N/A
233,Vermont,AE,33,21,99.5,104.7,0.3577,49.0,48.8,17.3,15.7,26.2,25.8,29.8,27.1,49.5,48.3,32.3,33.0,43.5,38.6,62.5,-8.20,N/A
234,Maine,AE,34,20,99.0,104.2,0.3572,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29.0,50.6,50.7,35.7,33.3,33.0,36.2,65.9,-10.30,N/A
235,Delaware,CAA,36,16,108.9,114.6,0.3563,55.1,52.2,16.6,15.5,22.4,32.5,30.0,32.9,54.1,51.9,37.7,35.3,39.9,34.1,70.2,-15.20,N/A
236,UT Rio Grande Valley,Slnd,31,16,104.5,110.0,0.3561,51.7,51.4,19.2,17.6,30.8,33.9,22.7,29.9,55.4,52.0,31.8,33.4,49.0,35.1,70.5,-10.20,N/A
237,South Dakota,Sum,33,19,108.4,114.2,0.3522,50.1,54.8,12.6,17.3,30.0,35.7,45.4,35.2,51.7,55.4,31.6,35.9,37.5,38.9,74.4,-9.00,N/A
238,Harvard,Ivy,27,12,102.0,107.8,0.3451,50.6,52.2,18.0,17.7,25.0,31.1,24.4,24.6,52.2,53.4,32.0,33.5,39.9,36.5,65.6,-10.80,N/A
239,UT Arlington,WAC,31,13,106.4,112.5,0.3443,51.7,50.4,19.2,16.4,32.8,32.5,37.0,34.3,50.6,48.5,35.4,36.0,42.2,34.9,67.5,-12.90,N/A
240,Tulsa,Amer,33,13,101.9,107.9,0.3415,49.5,49.7,16.9,14.4,27.2,31.1,34.2,33.6,51.5,50.0,31.2,32.7,42.3,34.0,66.2,-14.60,N/A
241,North Dakota,Sum,33,12,107.9,114.4,0.3388,49.7,56.5,16.6,15.0,33.7,28.7,33.6,33.0,50.3,57.1,32.5,37.1,40.0,40.6,68.9,-15.10,N/A
242,Iona,MAAC,34,17,99.4,105.4,0.3361,47.5,51.7,20.9,22.8,39.1,30.9,27.9,35.6,47.5,53.9,31.8,32.6,34.7,44.5,68.2,-13.90,N/A
243,American,Pat,34,22,101.2,107.4,0.3354,51.8,52.1,16.8,17.6,23.8,27.4,29.5,34.1,51.1,53.1,35.1,33.6,44.8,35.7,63.4,-8.30,16
244,UC Davis,BW,32,15,97.4,103.4,0.3352,46.3,50.0,19.7,21.8,27.6,33.6,38.3,39.2,45.1,48.3,32.2,35.2,35.5,37.7,67.1,-11.20,N/A
245,Incarnate Word,Slnd,33,17,105.2,111.8,0.3314,51.1,52.0,18.1,17.5,34.5,31.4,27.5,34.7,49.7,50.8,35.8,36.4,36.3,31.2,64.1,-11.90,N/A
246,Georgia St.,SB,33,14,107.2,113.9,0.3304,50.4,51.0,16.9,12.9,32.4,31.9,33.8,26.2,49.8,51.8,34.4,33.2,33.3,41.5,69.1,-13.30,N/A
247,Northern Arizona,BSky,33,18,103.7,110.2,0.3302,50.3,53.3,15.4,14.8,31.5,23.8,29.6,34.3,49.4,52.8,34.5,36.0,38.2,37.0,66.6,-11.50,N/A
248,Sacred Heart,MAAC,33,15,105.0,111.8,0.3274,51.0,51.8,17.7,17.6,31.4,29.9,26.3,27.6,50.3,50.8,34.5,35.4,44.6,43.1,70.3,-14.70,N/A
249,Georgia Southern,SB,33,17,102.9,109.6,0.3274,50.6,50.1,19.0,18.4,33.0,33.0,26.5,43.1,49.8,51.2,34.5,32.3,44.3,40.1,69.5,-11.40,N/A
250,Northern Kentucky,Horz,33,17,102.6,109.4,0.3217,49.8,52.5,17.3,19.9,31.0,32.5,31.3,29.3,50.0,50.6,33.0,37.0,40.0,40.1,65.9,-11.30,N/A
251,Portland,WCC,32,12,106.3,113.5,0.3211,50.1,54.6,18.0,13.2,23.9,29.9,32.2,22.1,49.8,53.3,33.7,37.8,43.6,40.9,68.2,-12.70,N/A
252,Idaho,BSky,33,14,107.9,115.2,0.3207,51.8,54.0,17.9,15.1,28.9,31.3,33.6,35.7,51.5,55.1,34.7,34.9,47.9,39.9,66.3,-14.00,N/A
253,Toledo,MAC,33,18,110.8,118.5,0.3156,50.5,56.4,13.7,15.5,29.8,30.9,35.5,26.5,50.6,55.9,33.6,38.2,28.6,37.5,68.3,-9.10,N/A
254,Little Rock,OVC,33,19,98.0,104.9,0.3146,49.5,46.7,20.4,21.5,30.4,35.4,29.0,37.9,47.2,46.3,36.6,31.4,30.3,44.2,66.7,-10.10,N/A
255,Cal St. Bakersfield,BW,33,14,105.3,112.8,0.3129,48.2,54.3,18.8,18.9,35.6,29.7,34.5,46.9,45.3,54.8,37.2,35.7,28.4,41.5,66.0,-13.80,N/A
256,Presbyterian,BSth,32,14,103.1,110.5,0.3113,51.2,52.5,16.3,17.7,29.6,31.3,31.2,39.2,49.7,52.9,36.0,34.4,34.2,34.7,64.3,-13.90,N/A
257,Jackson St.,SWAC,34,16,100.3,107.6,0.3081,47.7,50.6,19.5,17.4,30.1,30.0,37.5,30.6,47.1,50.3,32.6,34.1,33.7,41.7,68.4,-10.60,N/A
258,Fresno St.,MWC,32,6,100.8,108.2,0.3057,46.1,54.0,17.7,18.0,27.0,34.0,36.4,23.5,45.6,56.0,31.3,34.2,35.3,43.0,70.7,-16.40,N/A
259,Manhattan,MAAC,30,17,107.2,115.1,0.3048,50.7,50.5,17.0,15.2,32.6,31.9,31.0,25.9,50.3,51.8,34.2,32.5,41.9,42.3,67.4,-10.10,N/A
260,Monmouth,CAA,33,13,103.8,111.7,0.3012,47.2,50.7,16.2,16.6,29.7,34.8,36.7,36.1,44.2,50.7,35.2,33.8,34.6,40.7,67.1,-14.50,N/A
261,Evansville,MVC,32,11,98.1,105.6,0.2992,48.8,50.2,17.7,16.7,22.6,29.2,31.1,34.6,51.5,49.4,29.9,34.1,40.6,44.9,66.9,-15.10,N/A
262,Charlotte,Amer,33,11,104.2,112.2,0.2985,48.3,54.2,15.1,14.6,25.4,29.2,42.7,37.0,49.6,56.4,31.0,33.3,40.9,34.5,64.7,-16.40,N/A
263,Mount St. Mary's,MAAC,34,22,99.4,107.5,0.2903,51.0,48.0,21.7,15.9,31.1,28.3,31.0,26.7,50.1,48.7,34.9,31.4,41.0,44.5,67.3,-8.20,16
264,UMass Lowell,AE,32,17,107.0,115.7,0.2901,54.6,51.6,18.1,14.7,26.1,30.3,31.6,25.2,56.3,50.5,34.2,35.6,34.6,34.7,68.6,-11.60,N/A
265,North Florida,ASun,32,15,108.0,116.8,0.2882,53.2,54.1,15.0,14.7,27.9,34.2,24.8,31.1,54.0,54.5,35.0,35.5,54.0,31.1,72.2,-11.40,N/A
266,FIU,CUSA,33,10,96.1,103.9,0.2879,46.1,51.6,19.5,20.6,31.0,29.6,36.0,37.5,47.4,52.6,28.8,33.3,30.1,39.5,68.4,-17.40,N/A
267,Houston Christian,Slnd,32,12,100.4,108.6,0.2875,49.1,52.6,18.0,17.9,26.0,32.0,30.5,29.4,49.3,54.5,32.5,32.3,44.0,31.8,64.5,-14.70,N/A
268,Gardner Webb,BSth,31,11,102.3,110.7,0.2867,51.9,52.0,20.8,14.8,33.4,30.2,36.2,37.2,53.1,54.2,33.0,32.3,33.1,38.0,69.0,-15.00,N/A
269,Denver,Sum,32,11,99.9,108.4,0.2825,50.3,54.3,18.5,17.6,26.1,29.1,31.6,49.8,50.5,56.2,33.3,34.1,36.9,37.9,66.4,-15.90,N/A
270,Siena,MAAC,32,14,102.0,110.6,0.2823,49.4,51.7,17.2,18.2,28.8,30.0,37.3,31.4,49.5,51.8,32.8,34.3,39.9,34.2,67.0,-14.60,N/A
271,Eastern Michigan,MAC,32,16,104.3,113.2,0.2791,52.4,53.7,18.7,17.8,29.6,31.7,33.0,38.5,52.4,51.9,35.0,37.7,38.2,38.8,67.1,-12.20,N/A
272,Colgate,Pat,33,14,104.0,113.1,0.2770,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,42.2,40.0,67.0,-14.90,N/A
273,Ball St.,MAC,31,14,103.4,112.5,0.2762,51.3,51.6,16.4,14.1,26.4,27.9,44.5,30.7,51.0,54.5,34.6,31.5,37.1,39.7,66.3,-13.80,N/A
274,Alabama St.,SWAC,34,19,100.5,109.6,0.2698,47.1,50.3,13.2,18.6,28.3,31.1,29.9,38.7,45.4,50.4,32.9,33.4,42.9,39.5,67.6,-10.20,16
275,Bowling Green,MAC,32,14,99.4,108.6,0.2656,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,39.7,42.4,68.7,-14.30,N/A
276,Albany,AE,33,17,103.0,112.5,0.2656,49.3,54.9,15.7,19.8,32.3,28.4,29.5,34.7,50.2,55.8,31.7,35.6,36.0,34.9,67.5,-12.90,N/A
277,Mercer,SC,33,14,98.2,107.4,0.2643,48.9,50.8,16.6,16.8,28.8,28.7,29.8,32.8,49.8,49.7,31.8,34.7,40.1,46.0,70.9,-14.50,N/A
278,Eastern Washington,BSky,32,10,101.8,111.3,0.2635,50.9,54.4,18.7,19.0,26.9,33.6,31.1,39.7,52.5,53.8,32.3,36.9,37.6,38.4,67.0,-16.40,N/A
279,Pacific,WCC,33,9,100.7,110.2,0.2616,48.1,53.2,19.3,15.4,28.8,28.2,32.8,37.1,50.3,52.9,29.7,35.8,37.8,39.5,66.5,-15.70,N/A
280,LIU,NEC,33,17,94.8,103.9,0.2581,47.7,48.0,20.1,19.2,32.3,27.0,27.6,43.5,48.8,48.8,30.3,31.2,33.4,39.8,64.8,-12.70,N/A
281,Western Michigan,MAC,32,12,101.8,111.7,0.2555,47.0,54.5,15.8,16.6,34.4,27.9,31.0,33.2,49.3,55.0,28.2,35.8,32.9,41.0,67.7,-14.90,N/A
282,Texas Southern,SWAC,32,15,95.4,104.9,0.2530,47.5,47.4,19.8,19.6,30.5,34.7,28.9,36.2,46.2,46.5,33.1,32.6,35.8,41.3,69.9,-11.90,N/A
